"time", "users", "average response time", "queries Per Second", "label", "queries", "rows read", "updates", "deletes", "inserts", "interval"
246, 10, 0, 0, "Jul 29, 2013 4:09:02 PM", 0, 0, 0, 0, 0, 1
247, 10, 1, 263, "Jul 29, 2013 4:09:04 PM", 263, 15757, 33, 45, 32, 1
248, 10, 2, 760, "Jul 29, 2013 4:09:06 PM", 760, 52310, 70, 76, 77, 1
249, 10, 1, 703, "Jul 29, 2013 4:09:08 PM", 703, 56927, 55, 63, 60, 1
250, 10, 0, 0, "Jul 29, 2013 4:09:10 PM", 0, 0, 0, 0, 0, 1
251, 10, 0, 0, "Jul 29, 2013 4:09:12 PM", 0, 0, 0, 0, 0, 1
252, 10, 1, 309, "Jul 29, 2013 4:09:14 PM", 309, 0, 47, 40, 31, 1
253, 10, 1, 790, "Jul 29, 2013 4:09:16 PM", 790, 0, 78, 75, 74, 1
254, 10, 1, 699, "Jul 29, 2013 4:09:18 PM", 699, 0, 49, 62, 49, 1
255, 10, 0, 0, "Jul 29, 2013 4:09:20 PM", 0, 0, 0, 0, 0, 1
256, 10, 0, 0, "Jul 29, 2013 4:09:22 PM", 0, 0, 0, 0, 0, 1
257, 10, 3, 289, "Jul 29, 2013 4:09:24 PM", 289, 55953, 44, 46, 42, 1
258, 10, 6, 551, "Jul 29, 2013 4:09:26 PM", 551, 201228, 82, 59, 80, 1
259, 10, 6, 495, "Jul 29, 2013 4:09:28 PM", 495, 212787, 49, 52, 56, 1
260, 10, 0, 0, "Jul 29, 2013 4:09:30 PM", 0, 0, 0, 0, 0, 1
261, 10, 0, 0, "Jul 29, 2013 4:09:32 PM", 0, 0, 0, 0, 0, 1
262, 10, 1, 396, "Jul 29, 2013 4:09:34 PM", 396, 27203, 48, 49, 42, 1
263, 10, 1, 735, "Jul 29, 2013 4:09:36 PM", 735, 55975, 78, 78, 62, 1
264, 10, 2, 676, "Jul 29, 2013 4:09:38 PM", 676, 55084, 50, 50, 63, 1
265, 10, 0, 0, "Jul 29, 2013 4:09:40 PM", 0, 0, 0, 0, 0, 1
266, 10, 0, 0, "Jul 29, 2013 4:09:42 PM", 0, 0, 0, 0, 0, 1
267, 10, 1, 431, "Jul 29, 2013 4:09:44 PM", 431, 0, 41, 48, 41, 1
268, 10, 1, 791, "Jul 29, 2013 4:09:46 PM", 791, 4, 76, 83, 68, 1
269, 10, 1, 690, "Jul 29, 2013 4:09:48 PM", 690, 2, 44, 52, 46, 1
270, 10, 0, 0, "Jul 29, 2013 4:09:50 PM", 0, 0, 0, 0, 0, 1
271, 10, 0, 0, "Jul 29, 2013 4:09:52 PM", 0, 0, 0, 0, 0, 1
272, 10, 4, 355, "Jul 29, 2013 4:09:54 PM", 355, 92277, 54, 46, 61, 1
273, 10, 7, 508, "Jul 29, 2013 4:09:56 PM", 508, 176413, 73, 67, 73, 1
274, 10, 7, 466, "Jul 29, 2013 4:09:58 PM", 466, 196697, 50, 60, 39, 1
275, 10, 0, 0, "Jul 29, 2013 4:10:00 PM", 0, 0, 0, 0, 0, 1
276, 10, 0, 0, "Jul 29, 2013 4:10:02 PM", 0, 0, 0, 0, 0, 1
